timestamp;open;high;low;close;volume;quoteasset;trade;takerbuybase;takerbuyquote
1524002400000;0.25203000;0.25203000;0.25150000;0.25150000;27549.50000000;6934.46322360;21;297.68000000;74.99452240
1524002460000;0.25150000;0.25150000;0.25060000;0.25130000;32924.78000000;8271.78785920;34;2953.04000000;742.08037930
1524002520000;0.25070000;0.25117000;0.25070000;0.25080000;6163.27000000;1546.14096890;5;1083.27000000;272.08426890
1524002580000;0.25080000;0.25080000;0.25060000;0.25060000;8956.70000000;2245.29217320;17;3492.37000000;875.81013160
1524002640000;0.25010000;0.25043000;0.25007000;0.25007000;44388.97000000;11101.81293970;16;3254.00000000;814.42330000
1524002700000;0.25007000;0.25019000;0.25006000;0.25006000;27777.80000000;6946.40667550;20;15264.17000000;3817.21979190
1524002760000;0.25008000;0.25031000;0.24962000;0.24962000;60513.19000000;15121.18741550;49;1593.09000000;397.68727470
1524002820000;0.24984000;0.25008000;0.24954000;0.24954000;19762.61000000;4935.87588840;27;9346.11000000;2336.13781360
1524002880000;0.24995000;0.24999000;0.24954000;0.24957000;5437.25000000;1357.83201500;18;2853.13000000;712.98440010
1524002940000;0.24955000;0.24999000;0.24900000;0.24900000;38393.26000000;9573.95549520;52;4345.44000000;1084.40898110
1524003000000;0.24899000;0.24920000;0.24850000;0.24850000;21391.80000000;5320.49483980;28;4010.91000000;999.50699520
1524003060000;0.24912000;0.24920000;0.24851000;0.24905000;13237.91000000;3295.85265960;36;9405.87000000;2342.68734530
1524003120000;0.24866000;0.24950000;0.24866000;0.24869000;22452.49000000;5588.57818100;28;16244.15000000;4042.32132830
1524003180000;0.24910000;0.24950000;0.24906000;0.24908000;28397.72000000;7075.24662670;11;28358.41000000;7065.45411260
1524003240000;0.24910000;0.24950000;0.24881000;0.24948000;17892.03000000;4455.98358620;23;16388.60000000;4081.76100250
1524003300000;0.24901000;0.24950000;0.24901000;0.24950000;4305.30000000;1073.08892230;16;2145.08000000;535.08453880
1524003360000;0.24950000;0.24950000;0.24869000;0.24878000;7162.58000000;1785.42117690;11;4930.39000000;1230.10303800
1524003420000;0.24901000;0.24947000;0.24901000;0.24947000;382.33000000;95.20413590;3;382.33000000;95.20413590
1524003480000;0.24930000;0.24947000;0.24892000;0.24892000;7561.52000000;1883.27693570;8;6421.71000000;1599.06607820
1524003540000;0.24896000;0.24950000;0.24892000;0.24950000;7113.33000000;1773.14606980;18;5708.45000000;1423.35807680
1524003600000;0.24950000;0.24950000;0.24950000;0.24950000;6143.31000000;1532.75584500;20;4986.31000000;1244.08434500
1524003660000;0.24950000;0.24950000;0.24950000;0.24950000;12301.65000000;3069.26167500;8;11699.94000000;2919.13503000
1524003720000;0.24950000;0.24980000;0.24949000;0.24980000;12353.37000000;3084.17581500;11;12353.37000000;3084.17581500
1524003780000;0.24980000;0.25027000;0.24934000;0.25027000;6644.68000000;1659.59209130;9;6000.00000000;1498.84597600
1524003840000;0.25026000;0.25100000;0.24934000;0.24939000;5804.86000000;1454.04141390;12;1467.10000000;367.41376630
1524003900000;0.24935000;0.25064000;0.24869000;0.24943000;20998.56000000;5228.03680440;31;4348.57000000;1082.36568260
1524003960000;0.24870000;0.24870000;0.24850000;0.24862000;25193.16000000;6261.59890990;23;3291.15000000;818.29042140
1524004020000;0.24851000;0.24868000;0.24850000;0.24868000;6097.94000000;1516.07478070;14;4331.36000000;1077.05388580
1524004080000;0.24869000;0.24934000;0.24869000;0.24934000;1821.52000000;453.17432130;6;1453.54000000;361.66137510
1524004140000;0.24914000;0.24915000;0.24914000;0.24915000;317.25000000;79.04006370;2;317.25000000;79.04006370
1524004200000;0.24913000;0.24913000;0.24913000;0.24913000;0.01000000;0.00249130;1;0.01000000;0.00249130
1524004260000;0.24912000;0.24912000;0.24869000;0.24912000;16439.23000000;4091.77969690;9;15731.49000000;3915.72326420
1524004320000;0.24910000;0.24913000;0.24868000;0.24868000;22220.53000000;5535.33869670;11;21931.05000000;5463.31381710
1524004380000;0.24867000;0.24869000;0.24853000;0.24853000;12636.49000000;3142.39373830;11;12236.49000000;3042.98173830
1524004440000;0.24857000;0.24926000;0.24833000;0.24834000;54229.42000000;13483.23074220;42;13193.49000000;3288.06220620
1524004500000;0.24834000;0.24865000;0.24830000;0.24830000;86562.09000000;21496.92869450;38;14491.90000000;3599.81998320
1524004560000;0.24830000;0.24865000;0.24800000;0.24800000;86979.57000000;21575.79022120;59;2875.41000000;714.21018200
1524004620000;0.24800000;0.24800000;0.24650000;0.24751000;164480.76000000;40655.43513030;108;82376.89000000;20341.36203330
1524004680000;0.24751000;0.24752000;0.24700000;0.24700000;57979.16000000;14324.99949730;36;51309.39000000;12676.88445780
1524004740000;0.24700000;0.24746000;0.24686000;0.24701000;41017.41000000;10131.26170310;26;30395.78000000;7507.80568270
1524004800000;0.24681000;0.24718000;0.24681000;0.24693000;7749.70000000;1913.41988370;14;7432.70000000;1835.17907370
1524004860000;0.24696000;0.24741000;0.24696000;0.24732000;11580.00000000;2863.91033540;26;10764.41000000;2662.48223020
1524004920000;0.24699000;0.24738000;0.24691000;0.24691000;1400.45000000;345.90517220;14;354.79000000;87.66899890
1524004980000;0.24692000;0.24747000;0.24692000;0.24694000;5201.10000000;1284.86678890;24;950.64000000;235.20916220
1524005040000;0.24694000;0.24719000;0.24680000;0.24719000;7410.49000000;1829.61381230;15;1207.91000000;298.34582290
1524005100000;0.24718000;0.24719000;0.24680000;0.24719000;11328.77000000;2799.20508450;17;8170.34000000;2019.55195320
1524005160000;0.24719000;0.24752000;0.24653000;0.24752000;69624.99000000;17215.08616260;23;56455.80000000;13967.31110120
1524005220000;0.24740000;0.24740000;0.24740000;0.24740000;216.00000000;53.43840000;1;216.00000000;53.43840000
1524005280000;0.24686000;0.24752000;0.24653000;0.24752000;18404.20000000;4548.55878200;28;12000.98000000;2968.87479270
1524005340000;0.24751000;0.24760000;0.24750000;0.24751000;16546.73000000;4095.88430450;13;5514.00000000;1365.17372640
1524005400000;0.24760000;0.24760000;0.24750000;0.24750000;8991.89000000;2225.63620220;14;1286.87000000;318.62901200
1524005460000;0.24750000;0.24750000;0.24701000;0.24703000;3704.09000000;916.68538450;5;0E-8;0E-8
1524005520000;0.24750000;0.24750000;0.24600000;0.24724000;234002.44000000;57627.10807380;53;13921.26000000;3436.01159070
1524005580000;0.24638000;0.24724000;0.24638000;0.24724000;60800.88000000;15021.15085940;19;57070.75000000;14102.12143000
1524005640000;0.24685000;0.24724000;0.24685000;0.24723000;26205.42000000;6476.70301660;16;6298.82000000;1556.65600670
1524005700000;0.24723000;0.24723000;0.24686000;0.24723000;23107.41000000;5711.58756260;9;19709.00000000;4872.65607000
1524005760000;0.24722000;0.24723000;0.24686000;0.24720000;13877.80000000;3430.42069690;13;978.72000000;241.95316590
1524005820000;0.24720000;0.24750000;0.24686000;0.24686000;26027.48000000;6426.29828300;17;2920.00000000;721.93087120
1524005880000;0.24686000;0.24705000;0.24685000;0.24705000;6315.50000000;1559.30500000;4;4670.50000000;1153.23675000
1524005940000;0.24705000;0.24721000;0.24685000;0.24721000;2024.17000000;500.09296370;7;1322.21000000;326.81413770
1524006000000;0.24721000;0.24749000;0.24650000;0.24680000;31883.51000000;7866.35204060;20;17521.17000000;4325.54959080
1524006060000;0.24680000;0.24680000;0.24680000;0.24680000;43582.77000000;10756.22763600;25;43582.77000000;10756.22763600
1524006120000;0.24680000;0.24750000;0.24658000;0.24681000;45196.61000000;11154.59254330;21;12784.57000000;3157.12447840
1524006180000;0.24680000;0.24681000;0.24400000;0.24622000;294623.09000000;72319.20265160;142;61203.33000000;15027.42588780
1524006240000;0.24621000;0.24622000;0.24559000;0.24621000;5289.54000000;1302.13245050;16;4403.93000000;1084.32385170
1524006300000;0.24650000;0.24650000;0.24566000;0.24566000;21142.00000000;5200.66866570;28;19869.34000000;4887.85862110
1524006360000;0.24634000;0.24634000;0.24572000;0.24572000;288.49000000;70.98362420;4;157.00000000;38.67313600
1524006420000;0.24621000;0.24623000;0.24576000;0.24576000;14381.82000000;3536.30043370;14;13505.06000000;3320.82075610
1524006480000;0.24622000;0.24622000;0.24502000;0.24600000;31830.21000000;7819.26430850;41;16509.29000000;4061.31655690
1524006540000;0.24600000;0.24600000;0.24553000;0.24599000;57625.10000000;14165.09143600;34;56269.81000000;13832.21630350
1524006600000;0.24599000;0.24600000;0.24544000;0.24600000;7301.60000000;1794.19560900;19;7201.60000000;1769.65060900
1524006660000;0.24600000;0.24600000;0.24554000;0.24574000;8634.82000000;2122.32061750;11;8390.30000000;2062.27954780
1524006720000;0.24596000;0.24596000;0.24554000;0.24596000;7536.71000000;1850.92859800;6;7536.71000000;1850.92859800
